是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
149	微型断路器	iC65 L-C 10A /1P	施耐德	iC65	标准断路器	15KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
150	微型断路器	iC65 L-C 16A /1P	施耐德	iC65	标准断路器	15KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
151	微型断路器	iC65 L-C 20A /1P	施耐德	iC65	标准断路器	15KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
152	微型断路器	iC65 L-C 25A /1P	施耐德	iC65	标准断路器	15KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
153	微型断路器	iC65 L-C 32A /1P	施耐德	iC65	标准断路器	15KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
154	微型断路器	iC65 L-C 40A /1P	施耐德	iC65	标准断路器	15KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
155	微型断路器	iC65 L-C 50A /1P	施耐德	iC65	标准断路器	15KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
156	微型断路器	iC65 L-C 63A /1P	施耐德	iC65	标准断路器	15KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
157	微型断路器	iC65 N-C 1A /2P	施耐德	iC65	标准断路器	6KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
158	微型断路器	iC65 N-C 2A /2P	施耐德	iC65	标准断路器	6KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
159	微型断路器	iC65 N-C 3A /2P	施耐德	iC65	标准断路器	6KA	C型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
160	微型断路器	iC65 N-C 4A /2P	施耐德	iC65	标准断路器	6KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
161	微型断路器	iC65 N-C 6A /2P	施耐德	iC65	标准断路器	6KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
162	微型断路器	iC65 N-C 10A /2P	施耐德	iC65	标准断路器	6KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
163	微型断路器	iC65 N-C 16A /2P	施耐德	iC65	标准断路器	6KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
